Id,SalePrice
1381,73117.38
521,102724.414
1176,328701.8
352,206769.66
1336,160312.08
281,230475.97
978,191634.72
470,204134.31
1052,193703.88
292,156690.16
93,131474.77
612,171105.02
468,154959.45
598,170986.92
1450,100950.16
1414,300971.16
1019,173322.52
924,193435.88
944,132719.4
545,227729.22
1039,119398.16
457,107792.195
565,269971.84
395,109911.414
321,422172.7
76,82025.55
39,139590.17
1352,159776.52
1362,233815.89
1283,152356.67
1262,129890.66
1102,118857.305
63,231406.4
551,138550.16
690,192121.22
251,66141.49
283,183695.75
1113,116830.875
1152,167022.5
934,190098.95
230,191480.69
1154,115599.76
340,175366.27
1455,176231.67
1192,170014.53
1345,192852.48
1439,139125.06
693,259033.9
112,178041.55
1281,211107.36
617,178336.06
933,295667.22
355,156494.67
1387,297568.6
1216,108747.945
1226,131805.72
486,135192.19
1068,155679.89
1242,241687.8
726,103742.09
941,182082.56
1278,195594.55
641,260930.58
720,133506.81
296,138120.72
700,173915.08
958,117160.37
22,126375.45
981,169457.89
1137,113588.11
371,181370.28
1390,112200.74
1266,180565.94
1187,117799.85
618,109604.95
1302,157278.7
372,134568.44
334,203314.19
349,182818.38
33,221092.08
50,117585.21
14,215094.92
1208,204535.77
723,116600.7
201,141083.97
956,150089.19
363,224791.45
316,171484.28
1452,230312.67
240,120801.016
660,177250.11
1457,225298.16
1003,250411.38
367,168929.23
1046,147509.67
125,178583.84
728,190009.0
962,253687.89
272,207555.48
1341,101865.06
483,179647.02
679,291870.9
320,213495.62
1298,156879.17
1248,155223.94
311,179060.12
458,179983.52
769,240634.67
403,109944.2
680,130466.75
931,244174.7
1454,160486.95
842,161641.77
606,212979.31
1395,221548.69
285,179689.39
297,162316.47
1124,93502.4
783,191493.39
1190,192520.36
832,150406.81
849,198351.23
810,123666.43
1221,113089.99
1197,243744.5
389,190925.77
178,168953.75
663,135694.12
333,275059.5
96,193105.42
441,558761.5
884,116459.01
29,188089.55
231,136615.55
220,167014.31
611,321156.3
476,140655.94
386,194822.61
908,237085.88
213,258921.66
630,142991.27
699,138169.3
877,129158.016
692,617505.06
867,247664.77
616,143429.19
625,140918.53
569,285079.4
1268,406951.5
1292,125627.19
1084,165380.58
819,138669.53
613,273555.8
329,182760.47
1098,180477.0
1427,298876.88
1258,81001.68
17,148065.77
194,150910.47
848,131202.48
243,98133.414
1001,95206.9
422,188411.75
550,232019.11
1434,178738.86
182,175246.9
806,210588.48
916,70085.38
511,154622.86
123,139611.94
1118,142691.42
785,144744.94
775,294420.12
1120,113466.26
1128,241546.72
1234,148683.7
28,360924.75
443,132547.97
890,203419.92
1403,183641.88
430,193545.22
748,230333.61
460,103573.96
472,211040.52
964,280925.8
477,205448.3
531,198973.67
532,125103.78
406,166688.78
1015,140566.28
506,120098.76
621,69438.36
620,343722.16
984,297026.44
1211,185511.86
1251,267148.94
1456,177078.34
301,167886.47
507,234676.23
75,121839.46
833,230344.12
547,168803.61
2,171423.5
779,124407.78
495,97351.06
126,95588.92
330,80875.26
846,215861.56
221,212547.73
561,173471.8
229,110065.53
145,161623.14
304,135117.8
137,158819.33
1397,202856.0
544,105543.6
786,157093.86
522,166972.52
36,319200.8
1220,94914.91
453,213727.56
799,538925.75
1376,243192.3
1274,167599.75
827,75773.94
523,139526.39
277,199896.86
1239,153676.83
1056,170404.39
180,125369.25
410,286976.84
1191,182301.08
1256,123623.016
866,146314.52
1238,207339.52
705,205475.19
227,274706.53
1061,196019.88
695,125548.85
704,150414.75
715,204036.67
442,124678.58
423,123783.82
843,147153.31
413,221580.39
1304,204234.53
879,153337.72
300,156394.88
216,150475.38
1093,167404.98
750,103629.13
932,127576.83
382,207890.3
209,277677.56
90,106015.65
257,206116.72
290,135252.97
1088,260604.92
1026,119748.94
383,226969.44
927,322010.5
533,102606.375
1295,128719.42
376,88853.35
691,143065.72
1441,189081.92
185,102809.28
966,168035.64
1171,138265.92
211,90163.35
1385,112276.44
228,108443.5
928,181602.23
1188,332241.2
1412,144065.5
1277,175158.25
1002,83683.39
31,83138.766
530,220261.95
1451,139811.55
652,129230.07
946,188992.2
955,126536.45
1103,131482.97
381,143871.44
1236,140022.5
1389,352274.7
1284,141984.92
1040,65953.7
62,97833.69
1396,367237.1
907,271152.16
